seller,mixxiw,mix's store,JOUES CONTRASTE,608-OMBRE,2000.0,300,images/2021-10-19_1634577239174.jpeg
seller,mixxiw,mix's store,BRONZING CREAM,oksw,2000.0,18,images/2021-10-19_1634580510018.jpeg
seller,mixxiw,mix's store,OMBRE ET CONTOUR,222-PURE_FLESH,1380.0,53,images/2021-10-19_1634578881184.jpeg
seller,mixxiw,mix's store,DIMENSIONS,50-NERO METALLO,1350.0,21,images/2021-10-19_1634578991659.jpeg
seller,mixxiw,mix's store,FOUNDATION,B30,2500.0,36,images/2021-10-19_1634579088702.jpeg
seller,mixxiw,mix's store,PALETTE SOURCILS,01-LIGHT,2100.0,88,images/2021-10-19_1634580647185.jpeg
seller,mixxiw,mix's store,PARFUM,15 ml,8900.0,21,images/2021-10-19_1634580785104.jpeg
seller,mixxiw,mix's store,BLUSH STICK,BLUSH N24,2000.0,100,images/2021-10-19_1634580845844.jpeg
seller,mixxiw,mix's store,BEIGES POWDER,SUNSET,2450.0,45,images/2021-10-19_1634580941248.jpeg
seller,mixxiw,mix's store,UNIVERSELLE,30-NATUREL,2300.0,120,images/2021-10-19_1634584822956.jpeg
seller,mixxiw,mix's store,WATERPROOF,802-AUBURN,1650.0,38,images/2021-10-19_1634584902071.jpeg
seller,mixxiw,mix's store,HIGHLIGHTING,PEARLY GLOW,2000.0,24,images/2021-10-19_1634585889921.jpeg
seller,tootee,tootee shop,CANDLE,scented candle (Limited edition),440.0,40,images/2021-10-19_1634638826427.jpg
seller,tootee,tootee shop,LIP BALM,FRESH color & care lip gift set,1090.0,35,images/2021-10-19_1634638888613.jpg
seller,tootee,tootee shop,LIP GLOW,Dior addicted lip glow,1390.0,27,images/2021-10-19_1634638957944.jpg
seller,tootee,tootee shop,HAND MASK,Fenty intensive recovery hand mask,810.0,50,images/2021-10-19_1634639003145.jpg
seller,tootee,tootee shop,FENTY SET,Fenty peach cream brush & mini gloss,960.0,45,images/2021-10-19_1634639045876.jpg
seller,tootee,tootee shop,SHOWER GEL,Cherry blossom bubble shower gel,360.0,55,images/2021-10-19_1634639487983.jpg
seller,tootee,tootee shop,MASCARA,Too faced lashed mascara,950.0,59,images/2021-10-19_1634640530328.jpg
seller,tootee,tootee shop,CLEANSING SET,Fresh cleansing gift set,925.0,65,images/2021-10-19_1634640566484.jpg
seller,tootee,tootee shop,LIGHTING PALETTE,hourglass lighing palette,3100.0,44,images/2021-10-19_1634641004733.jpg
seller,tootee,tootee shop,KAYALI PERFUM,Huda beauty eau de parfum,940.0,30,images/2021-10-19_1634641058284.jpg
seller,tootee,tootee shop,FACE COLLECTION,Tarte full face collection,1100.0,70,images/2021-10-19_1634641118855.jpg
seller,tootee,tootee shop,LIP MAXIMIZER,Dior lip maximizer,1390.0,55,images/2021-10-19_1634641161159.jpg
